編號,原文,臺灣用語,大陸用語,其他用語,
378,electrographic printer,電圖列印機,,,
379,electrographic recording,電圖記錄,,,
380,electrohydraulic servo motor,油壓伺服馬達,電液伺服電機 ,,
381,electroless plating,無電式電鍍；化學式沉積,,,
382,electroluminescence,電場發光,,,
383,electroluminescent,電場發光,,,
384,electroluminescent counting element,電場發光計數元件,,,
385,electroluminescent diode,電場發光二極體,,,
386,electroluminescent display,電場發光顯示器,電致發光顯示器 ,,
387,electroluminescent display panel,電場發光顯示面板,,,
388,electroluminescent display,電場發光顯示器,,,
389,electroluminescent film,電場發光薄膜,,,
390,electroluminescent memory,電場發光記憶體,,,
391,electroluminescent panel,電場發光面板,,,
392,electroluminescent screen,電場發光螢幕,,,
393,electroluminescent storage,電場發光儲存器,,,
394,electroluminescent vertical indicating system,電場發光垂直指示系統,,,
395,electrolysis,電解,,,
396,electrolytic capacitor,電解電容器,,,
397,electrolytic printing,電解列印,,,
398,electrolytic recording,電解記錄,,,
399,electrolytic solution,電解溶液,,,
400,electromachining,電加工,,,
401,electromagnet,電磁（起重機）,,,
402,electromagnetic,電磁,,,
403,electromagnetic acoustics,電磁聲音裝置,,,
404,electromagnetic communication,電磁波通訊,,,
405,electromagnetic compatibility,電磁相容性,,,
406,electromagnetic contactless relay,電磁無接點繼電器,,,
407,electromagnetic delay line,電磁延遲線,,,
408,electromagnetic dispersive delay line,電磁色散延遲線,,,
409,electromagnetic emission,電磁放射,,,
410,electromagnetic environment,電磁環境,,,
411,electromagnetic field,電磁場,,,
412,electromagnetic hazard,電磁性危害,,,
413,electromagnetic induction input,電磁感應輸入,,,
414,electromagnetic intelligence system,電磁智慧系統,,,
415,electromagnetic intelligence,電磁智慧,,,
416,electromagnetic interference control,電磁干擾控制,,,
417,electromagnetic interference;,電磁干擾,,,
418,electromagnetic print head,電磁列印頭,電磁式打印頭 ,,
419,electromagnetic pulse,電磁脈波,,,
420,electromagnetic radiation,電磁輻射,,,
421,electromagnetic radiation control,電磁輻射控制,,,
422,electromagnetic relay,電磁繼電器,,,
423,electromagnetic rotating storage,電磁式旋轉儲存器,,,
424,electromagnetic surveillance,電磁監視,,,
425,electromagnetic unit,電磁單位,,,
426,electromagnetic volume,電磁量,,,
427,electromagnetic wave propagation,電磁波傳播,,,
428,electromagnetic wave transmission,電磁波傳輸,,,
429,electromagnetic wave,電磁波,,,
430,electromagnetics,電磁學,,,
431,electromagnetostatic field,靜電磁場,,,
432,electromechanical analog computer,機電類比計算機,,,
433,electromechanical device,機電裝置,,,
434,electromechanical input/output device,機電式輸入輸出裝置,,,
435,electromechanical plotter,機電繪圖器,,,
436,electromechanical recording,機電式記錄,,,
437,electromechanical relay,機電式繼電器,,,
438,electromechanical robot,機電傳動機器人,,,
439,electromechanical switching,機電式開關,,,
440,electrometer,靜電計,,,
441,electromigration,電移,,,
442,electromotive force,電動勢,,,
443,electromotive unit,電動單位,,,
444,electron,電子,,,
445,electron accelerator,電子加速器,,,
446,electron avalanche,電子突崩,,,
447,electron beam,電子束,,,
448,electron beam addressable memory,電子束可定址記憶體,,,
449,electron beam drilling,電子束鑽孔,,,
450,electron beam printing,電子束列印,,,
451,electron beam recorder,電子束記錄器,,,
452,electron beam recording,電子束記錄（法）,,,
453,electron brain,電腦,,,
454,electron bunch,電子集束,,,
455,electron charge,電子電荷,,,
456,electron collision,電子碰撞,,,
457,electron computer,電子計算機,,,
458,electron current,電子電流,,,
459,electron density,電子密度,,,
460,electron design automation,電子設計自動化,,,
461,electron device testing,電子裝置測試,,,
462,electron device,電子裝置,,,
463,electron emission,電子放射,,,
464,electron energy,電子能量,,,
465,electron eye,電子眼,,,
466,electron flow,電子流,,,
467,electron gun,電子槍,,,
468,electron hole pair,電子空洞對,,,
469,electron induced conductivity vidicon,電子感應導電視像管,,,
470,electron lens,電子透鏡,,,
471,electron mail,電子郵件,電子函件;電子郵件,,
472,electron mass,電子質量,,,
473,electron megavolt,電子百萬伏,,,
474,electron octet,電子八位元組,,,
475,electron pair,電子對,,,
476,electron paramagnetic resonance,電子順磁共振,,,
477,electron positron pair,電子正子對,,,
478,electron rays,電子射線,,,
479,electron trap,電子捕集器,,,
480,electron tube,電子管,,,
481,electron volt,電子伏特,,,
482,electronegativity,負電性,,,
483,electronic,電子的,,,
484,electronic accounting machine,電子會計機,,,
485,electronic analog fire control computer,電子類比炮火控制計算機,,,
486,electronic analog multiplier,電子類比乘法器,,,
487,electronic attachment,電子附件,,,
488,electronic autocoding technology,電子自動編碼技術,,,
489,electronic automatic exchange,電子自動交換機,,,
490,electronic banking,電子銀行,電子銀行業務, *電子金融 ,,
491,electronic beam machining,電子束加工,,,
492,electronic billing,電子付款,電子付款 ,,
493,electronic billing machine,電子記帳機,,,
