編號,原文,臺灣用語,大陸用語,其他用語,
2309,original source program listing library,原始源程式列表程式館,,,
2310,original source statement,原始源敘述,,,
2311,original statement,原始敘述,,,
2312,original symbol,原始符號,,,
2313,original symbolic language,原始符號語言,,,
2314,original transmission,原始傳輸,,,
2315,original typing,原始打字稿；原始打字文件,,,
2316,originating,發端,,,
2317,originating call,發端呼叫,,,
2318,originating device,發端裝置,,,
2319,originating marker	,發端標誌器,,,
2320,originating network,發端網路,,,
2321,originating node,發端節點,,,
2322,originating office,發端局,,,
2323,originating packet,發端小包,,,
2324,originating process,起源過程,,,
2325,originating register trunk	,發端（信號）暫存器中繼線,,,
2326,originating register	,發端（信號）暫存器,,,
2327,originating UA,發端單元位址,,,
2328,originating user,發端用戶,,,
2329,origination,發端；起源,,,
2330,originator,發起者,始發者 ,,
2331,orphan,孤兒,孤行,,
2332,orphan message,孤兒訊息,孤兒消息 ,,
2333,ortho film,正片,,,
2334,orthochromatic film,正色軟片,,,
2335,orthocode,垂向碼,,,
2336,orthocode scanning,垂向碼掃瞄,,,
2337,orthocorrection digit,垂向校正位元,,,
2338,orthogonal,正交的；垂直的,,,
2339,orthogonal antenna mount,正交天線安裝,,,
2340,orthogonal array arithmetic unit	,正交陣列算術單元,,,
2341,orthogonal array processor	,正交陣列處理機,,,
2342,orthogonal code,正交碼,,,
2343,orthogonal computer,正交計算機,,,
2344,orthogonal contrast,正交對比,,,
2345,orthogonal descriptor,正交描述符,,,
2346,orthogonal error control,正交錯誤控制；縱橫錯誤控制,,,
2347,orthogonal extension,正交延伸,,,
2348,orthogonal frequency division multiplex	,正交頻率部門多工,,,
2349,orthogonal instruction,正交指令,,,
2350,orthogonal linkage,正交鏈接,,,
2351,orthogonal list,正交表；十字鏈表,,,
2352,orthogonal matrix,正交矩陣,,,
2353,orthogonal memory	,正交記憶體,,,
2354,orthogonal multiplex,正交多工,,,
2355,orthogonal organization,正交組織,,,
2356,orthogonal parity check,正交同位檢查,,,
2357,orthogonal parity check sum,正交同位檢查和,,,
2358,orthogonal polynomial,正交多項式,,,
2359,orthogonal precedent,正交在先,,,
2360,orthogonal processor,正交處理機,,,
2361,orthogonal projection,正交投影,,,
2362,orthogonal relation,正交關係,,,
2363,orthogonal row computer	,正交列計算機,,,
2364,orthogonal signal,正交信號,,,
2365,orthogonal transformation,正交變換,,,
2366,orthogonal tree,正交樹,正交樹 ,,
2367,orthogonal vector,正交向量,,,
2368,orthogonal wavelet transformation,正交小波變換,正交小波變換 ,,
2369,orthogonalizable code,可正交碼,,,
2370,orthogonalized parity check equation,正交同位元核對方程式,,,
2371,orthographic projection,正投影,正投影 ,,
2372,orthonormal basis,正交基礎,,,
2373,orthonormal function,正交函數,,,
2374,orthoscanner,垂向掃瞄器,,,
2375,orthotropic control,正交控制,,,
2376,orthotropic error control,正交錯誤控制,,,
2377,orthotropic word,正交字,,,
2378,OS,作業系統,操作系統 ,,
2379,OS job queue dump program,操作系統的作業佇列傾向,,,
2380,OS multiprogramming with a fixed number of tasks	,固定任務數多程式設計操作系統,,,
2381,OS multiprogramming with a variable number of task	,可變任務數多程式設計操作系統,,,
2382,OS/2,OS/2 操作系統,OS/2 操作系統 ,,
2383,oscillate,振盪,,,
2384,oscillating circuit,振盪電路,,,
2385,oscillating data window,振盪資料視窗,,,
2386,oscillating frequency,振盪頻率,,,
2387,oscillating period,振蕩週期,振蕩周期 ,,
2388,oscillating pulse,振盪脈衝,,,
2389,oscillating sort,振盪排序；交替分類法,,,
2390,oscillating tube,振盪管,,,
2391,oscillation frequency,振盪頻率,,,
2392,oscillation tube,振盪管,,,
2393,oscillator,振盪器,,,
2394,oscillator and timing generator,振盪器與計時產生器,,,
2395,oscillator off,振盪器截止,,,
2396,oscillator tuning,振盪器調諧,,,
2397,oscillogram,示波圖；波形圖,,,
2398,oscillogram trace reader,示波圖追蹤閱讀機,,,
2399,oscillograph,示波器,,,
2400,oscillometer,示波計,,,
2401,oscilloprobe,示波器探頭；示波器探針,,,
2402,oscilloscope,示波器；示波管,示波器 ,,
2403,oscilloscope probe capacitance,示波器探針電容,,,
2404,oscilloscope tube,示波管,,,
2405,osculating plane,密切平面,密切平面 ,,
2406,OSI,開放系統互連,開放系統互連 ,,
2407,OSI model,開放系統互連模型,,,
2408,OSI reference model,開放系統互連參考模型,,,
2409,other control character,其他控制字元,,,
2410,other-domain resource,非本域資源,,,
2411,OUI,組織唯一識別符,組織惟一標識符 ,,
2412,out,輸出；在外,,,
2413,out amplifier,輸出放大器,,,
2414,out band multifrequency code	,帶外多頻電碼,,,
2415,out command	,外命令；輸出命令,,,
2416,out connector,外連接器；外接符；改接符,,,
2417,out data control,輸出資料控制,,,
2418,out device,輸出裝置,,,
2419,out elementary process,非初級處理,,,
2420,out expander,輸出擴展器,,,
2421,out fan,輸出；扇出,,,
2422,out gate,輸出門（電路）,,,
2423,out line feed,外線回饋,,,
2424,out of band,帶外,,,
2425,out of band signaling,帶外發信,,,
2426,out of band supervision,帶外監督,,,
2427,out of control,失控,,,
2428,out of frame,框失調,,,
2429,out of frame alignment time,框失調調正時間,,,
2430,out of line,超線；超行；外部,,,
2431,out of line coding,線外編碼,,,
2432,out of line procedure,線外程序,,,
2433,out of order signal,失常信號,,,
2434,out of order	,故障；無序；發生故障；次序混亂,,,
2435,out of phase,異相；不同相（位）,,,
2436,out of phase component life,異相組件壽命,,,
2437,out of range,越界；溢出,,,
2438,out of sequence,失序,,,
2439,out of service time,非服務時間,,,
2440,out of step,不同步；失步,,,
2441,out of stock costs,無庫存成本,,,
2442,out plant system,室外系統,,,
